feature,n_genes,genes
vlm_axonal_polarity_loss_visual,4,MAP2K2;MIGA1;SOX12;TRAF2
vlm_branch_like_tau_invasion_score,8,ARHGEF1;KIF16B;NPRL3;PIGN;PREP;SLC35E2B;STON1;TPRG1L
vlm_bundle_axis_waviness_score,7,BMPR1B;C1QTNF6;H1-2;MICAL1;SCAND1;TCEAL1;ZIM2
vlm_bundle_contour_raggedness_score,3,CD320;METRNL;SIGMAR1
vlm_bundle_core_hollowing_score,5,CORO1A;IGBP1;NXF1;TRIM26;TSPAN31
vlm_bundle_cross_section_striation_anisotropy_score,3,ACAD9;NFAT5;ZNF738
vlm_bundle_crossing_brightness_hierarchy_score,9,BMPR1B;DAG1;ETFB;ITPRIP;KRTAP5-AS1;OBI1;SCAND1;SERTAD2;ZIM2
vlm_bundle_end_taper_bluntness_score,2,CS;STON1
vlm_bundle_internal_strand_resolvability_score,6,MAB21L1;MICAL1;SYAP1;TSC22D2;ZIM2;ZNF738
vlm_bundle_lateral_fibril_shedding_score,9,CCSER2;HINT3;PTPN2;SCAND1;SNHG1;SYAP1;TTC7A;ZBED3;ZNF738
vlm_bundle_local_kink_concentration_score,2,SCAND1;SNN
vlm_bundle_lumen_edge_asymmetry_score,13,AADAT;ANKRD12;CORO1A;CREB3;IGBP1;NT5C2;NTS;NXF1;PABPC1L;RAB11FIP1;SSH2;SUV39H1;TSR2
vlm_bundle_striation_longitudinal_drift_score,7,FHOD1;NBPF20;POLR2E;RANBP6;RPS15;SUV39H1;ZNF738
vlm_bundle_striation_phase_locking_score,2,HOXC5;SLC29A3
vlm_bundle_surface_puncta_decoration_score,7,BIN3;C1ORF21;GALNT7;MED9;SIMC1;SNN;ZNF711
vlm_bundle_terminal_fanout_score,5,ARHGEF1;DDX19B;FCGRT;MICAL1;TMEM167B
vlm_bundle_width_varicosity_score,7,ARHGEF1;GATD1;MELTF;OBI1;PRKRA;RFTN1;SH3KBP1
vlm_cell_boundary_tau_indent_pressure_score,13,AADAT;APPL2;ARF4;DLEU2;LINC02256;MAP2K2;MIR9-3HG;OSBPL3;RAB11FIP1;RAPGEF6;TOMM22;TXLNA;ZNF32
vlm_cell_boundary_tau_retraction_mantle_score,4,CCDC186;GSDME;MAB21L1;UBE2Q1
vlm_cell_edge_tau_budding_protrusion_score,7,C15ORF39;MEX3C;NXF1;PWWP2A;STAT2;VPS9D1-AS1;ZC3H14
vlm_cell_long_axis_tau_cap_enrichment_score,2,DHX15;DOK6
vlm_cell_margin_filament_exit_angle_bias_score,3,KIF16B;NPRL3;SLC35E2B
vlm_cell_mask_process_arborization_score,7,ANKRD12;ARHGEF1;HINT3;PDGFRA;PDGFRB;PIGN;SNHG4
vlm_cell_nucleus_geometric_offset_ratio,4,FBP1;NLGN3;TRIM26;ZBTB25
vlm_cell_periphery_tau_rim_sharpness_score,26,AADAT;APPL2;B4GALT4;BIN3;CTU2;EGLN2;KCNJ8;METTL22;MTMR3;NT5C2;NXF1;P3H1;PABPC1L;PAXBP1;PIGN;PPP4R3B;PRIM1;RAE1;RELL2;RNPC3;SLC20A2;TP53I11;TSR2;TXNL4B;ZNF667-AS1;ZNF790-AS1
vlm_cell_process_tau_taper_preservation_score,6,BORCS8;BTD;MIGA1;MTPN;SOX12;UBE2Q1
vlm_cellular_tau_failure_collapse_score,8,CBLB;KIF16B;LINC01518;LTBP3;OSBPL3;PHACTR2;SOX12;STYXL1
vlm_curved_filament_inner_outer_brightness_bias_score,5,FMR1;MAPK6;ORC4;WBP11;ZIM2
vlm_cytoplasmic_granular_haze_score,6,CXXC1;JAM3;NUDT2;SNCA;SYAP1;TOMM22
vlm_cytoplasmic_tau_channel_connectivity_score,8,CLGN;NFATC3;PIGG;PRMT3;TBC1D15;TMEM51;ZNF717;ZSCAN22
vlm_cytoplasmic_tau_isthmus_connectivity_score,11,ARHGEF1;DARS2;KCNJ8;KIF16B;MAB21L1;THTPA;TPRG1L;USB1;VKORC1L1;ZIM2;ZNF696
vlm_cytoplasmic_tau_mosaic_irregularity_score,1,PIK3R4
vlm_cytoplasmic_tau_puncta_lattice_order_score,5,C17ORF49;FOXN3;PPT2-EGFL8;STK38L;ZNF594
vlm_cytoplasmic_tau_puncta_pair_spacing_dispersion_score,7,C17ORF49;CLASRP;PIGN;PPT2-EGFL8;RIOK2;TTC21B;ZNF536
vlm_cytoplasmic_tau_shear_flow_alignment_score,2,NBPF20;ZNF738
vlm_cytosolic_tau_void_size_heterogeneity_score,7,ADCYAP1R1;DNAJA1;GSTZ1;OTUD4;SCAND1;TBC1D15;ZNF646
vlm_dendritic_branch_order_tau_persistence_score,3,HINT3;TPRG1L;ZNF790-AS1
vlm_dendritic_branchpoint_tau_nodal_score,6,ARHGEF1;HDX;PDGFRA;SNHG4;THTPA;TPRG1L
vlm_dendritic_tau_branch_order_gradient_reversal_score,9,ARHGEF1;BRWD1;CAMKMT;FOXN3;NPRL3;SIMC1;TVP23B;WBP1;ZFYVE19
vlm_dendritic_thread_inclusion_score,5,CUEDC2;IQCK;ITPRIP;MSL1;OBI1
vlm_dendritic_thread_knot_entanglement_score,6,CMTR2;DUSP18;SNHG1;SNRPB2;STAT2;ZIM2
vlm_diffuse_tau_contour_conformity_score,6,AADAT;DLEU2;IRF1;MTMR3;NMT1;RAPGEF6
vlm_diffuse_to_punctate_soma_conversion_score,6,ANKRD12;KPNA6;PIGN;PRKRA;SIRT1;THUMPD1
vlm_distal_neurite_tau_continuity_score,4,HDX;ITPRIP;SOX12;TSC22D2
vlm_distal_neurite_terminal_bulb_tau_score,2,GK;RGS2
vlm_droplet_attachment_fraction_visual_score,10,GALNT7;MED9;NLGN3;POFUT1;STON1;TFPI2;THTPA;UAP1;ZNF439;ZNF614
vlm_droplet_bundle_wetting_flattening_score,2,SRP68;ZNF445
vlm_droplet_clusteredness_score,7,ANKRD12;CCP110;CLASRP;MED9;PPT2-EGFL8;SYAP1;TSR2
vlm_droplet_coalescence_necking_score,4,CXXC1;MAPK6;SMIM15;SYAP1
vlm_droplet_contact_side_tau_polarity_score,7,PLEKHG2;POFUT1;STON1;TFPI2;UAP1;ZNF439;ZNF830
vlm_droplet_filament_anchor_multiplicity_score,7,ARHGEF1;MED9;PDXDC1;RUSC1-AS1;THTPA;TTC21B;ZNF71
vlm_droplet_filament_endpoint_tethering_score,10,APBB1;C1ORF21;DSTYK;GTPBP10;MON1A;PDXDC1;PLEKHG2;SRP68;ZNF439;ZNF445
vlm_droplet_filament_interface_seeding_score,8,GALNT7;GPKOW;KDELR1;MAP2K5;MED8;MON1A;OSTM1;ZNF439
vlm_droplet_internal_tau_mottling_score,1,STRIP1
vlm_droplet_interstitial_tau_web_trapping_score,1,AGBL5
vlm_droplet_nuclear_avoidance_zone_score,3,CNEP1R1;PPP1R8;SYAP1
vlm_droplet_peripheral_enrichment_score,5,ARL13B;PPP1R8;PRIM1;SOS2;ZC3H14
vlm_droplet_population_dominance_score,3,SIRT1;SLC25A14;STRIP1
vlm_droplet_rim_bead_angular_periodicity_score,6,FASN;MIGA1;MSL1;TMEM167B;UBE2Q1;ZNF140
vlm_droplet_rim_sector_polarization_score,11,ANKRD7;ARHGEF26;BSDC1;EHBP1;GOLGA8A;LTBP4;MACROD1;NPIPB5;NXF1;SREBF2;TMEM167B
vlm_droplet_satellite_puncta_collar_score,8,ARHGEF26;CHAC1;EMC4;GOLGA8A;IFT57;NPIPB5;STAT2;ZIM2
vlm_droplet_shadow_overlap_field_score,4,ABCD3;FASN;MSL1;TMEM167B
vlm_droplet_size_assortative_neighborhood_score,6,ACAA1;G6PD;LINC00581;SYAP1;TOMM22;UTP15
